iter	Passed	Remaining
0	6	6605
1	14	7448
2	20	6855
3	29	7408
4	56	11238
5	65	10784
6	73	10423
7	84	10496
8	90	9964
9	99	9825
10	109	9834
11	116	9563
12	125	9563
13	131	9291
14	140	9239
15	150	9225
16	158	9141
17	178	9725
18	186	9650
19	196	9625
20	202	9440
21	211	9389
22	219	9323
23	229	9331
24	236	9231
25	246	9231
26	253	9134
27	259	9003
28	268	9006
29	278	9001
30	287	8976
31	296	8958
32	304	8912
33	311	8852
34	321	8876
35	329	8820
36	336	8756
37	343	8701
38	351	8670
39	363	8718
40	367	8593
41	375	8559
42	383	8543
43	392	8538
44	403	8558
45	411	8541
46	418	8483
47	425	8446
48	434	8438
49	444	8446
50	453	8436
51	460	8390
52	465	8326
53	474	8312
54	483	8312
55	489	8257
56	500	8278
57	509	8268
58	516	8236
59	525	8228
60	534	8225
61	543	8225
62	550	8181
63	555	8127
64	563	8110
65	571	8088
66	579	8076
67	587	8049
68	594	8020
69	603	8020
70	611	7996
71	622	8026
72	629	7998
73	637	7972
74	640	7900
75	646	7856
76	653	7839
77	661	7820
78	666	7770
79	676	7778
80	684	7771
81	692	7755
82	714	7891
83	727	7930
84	749	8070
85	768	8168
86	785	8240
87	796	8258
88	812	8315
89	824	8331
90	833	8321
91	843	8321
92	849	8285
93	859	8281
94	867	8266
95	878	8270
96	885	8241
97	892	8212
98	901	8203
99	906	8158
100	916	8156
101	923	8126
102	932	8119
103	942	8115
104	947	8072
105	956	8063
106	965	8059
107	974	8051
108	982	8033
109	991	8024
110	1001	8023
111	1010	8012
112	1015	7969
113	1023	7954
114	1034	7957
115	1042	7943
116	1049	7922
117	1059	7919
118	1068	7907
119	1075	7885
120	1085	7887
121	1093	7869
122	1102	7862
123	1109	7839
124	1119	7835
125	1129	7832
126	1133	7791
127	1144	7795
128	1154	7796
129	1164	7795
130	1174	7791
131	1184	7787
132	1192	7771
133	1200	7757
134	1206	7730
135	1216	7726
136	1224	7716
137	1232	7696
138	1241	7692
139	1252	7694
140	1261	7686
141	1267	7657
142	1278	7661
143	1285	7641
144	1294	7630
145	1303	7624
146	1312	7616
147	1318	7591
148	1328	7585
149	1333	7556
150	1343	7555
151	1349	7528
152	1356	7506
153	1360	7471
154	1364	7440
155	1368	7406
156	1376	7391
157	1379	7350
158	1382	7311
159	1385	7273
160	1388	7235
161	1391	7198
162	1394	7159
163	1397	7124
164	1400	7089
165	1404	7054
166	1407	7018
167	1410	6984
168	1413	6949
169	1416	6915
170	1419	6881
171	1422	6848
172	1425	6815
173	1428	6781
174	1431	6748
175	1435	6719
176	1438	6687
177	1441	6655
178	1444	6623
179	1447	6593
180	1450	6562
181	1453	6533
182	1456	6503
183	1459	6472
184	1462	6443
185	1465	6414
186	1468	6385
187	1471	6355
188	1473	6324
189	1476	6294
190	1479	6266
191	1482	6238
192	1486	6213
193	1488	6186
194	1491	6158
195	1494	6130
196	1497	6104
197	1502	6085
198	1504	6057
199	1507	6031
200	1511	6006
201	1514	5982
202	1517	5956
203	1520	5931
204	1523	5906
205	1525	5881
206	1528	5856
207	1531	5832
208	1534	5807
209	1537	5783
210	1540	5759
211	1542	5734
212	1545	5711
213	1548	5688
214	1551	5665
215	1554	5642
216	1557	5620
217	1560	5597
218	1564	5580
219	1568	5560
220	1571	5538
221	1573	5514
222	1576	5493
223	1579	5472
224	1582	5449
225	1584	5427
226	1587	5406
227	1590	5386
228	1592	5362
229	1595	5340
230	1598	5322
231	1601	5301
232	1604	5282
233	1607	5262
234	1610	5242
235	1612	5221
236	1616	5203
237	1618	5182
238	1621	5163
239	1624	5144
240	1627	5126
241	1631	5108
242	1633	5089
243	1636	5069
244	1638	5049
245	1641	5030
246	1644	5013
247	1647	4994
248	1650	4977
249	1652	4958
250	1655	4940
251	1658	4922
252	1661	4904
253	1663	4886
254	1666	4868
255	1668	4850
256	1671	4833
257	1674	4816
258	1677	4799
259	1680	4782
260	1683	4765
261	1685	4748
262	1688	4732
263	1691	4715
264	1694	4699
265	1696	4681
266	1699	4664
267	1701	4648
268	1704	4632
269	1707	4616
270	1710	4601
271	1713	4586
272	1716	4571
273	1719	4554
274	1721	4539
275	1724	4523
276	1727	4508
277	1730	4493
278	1733	4478
279	1735	4463
280	1739	4449
281	1741	4435
282	1744	4420
283	1747	4405
284	1750	4391
285	1753	4376
286	1755	4362
287	1758	4347
288	1761	4332
289	1763	4317
290	1766	4303
291	1769	4289
292	1772	4276
293	1775	4262
294	1778	4249
295	1780	4235
296	1783	4222
297	1786	4208
298	1789	4194
299	1791	4180
300	1795	4168
301	1797	4155
302	1800	4142
303	1803	4128
304	1806	4115
305	1808	4102
306	1811	4089
307	1814	4076
308	1817	4063
309	1819	4050
310	1823	4038
311	1826	4027
312	1829	4014
313	1831	4002
314	1834	3989
315	1837	3977
316	1840	3966
317	1843	3953
318	1845	3939
319	1847	3926
320	1850	3915
321	1853	3902
322	1856	3890
323	1858	3878
324	1861	3866
325	1864	3854
326	1867	3842
327	1869	3830
328	1872	3818
329	1874	3806
330	1877	3795
331	1880	3783
332	1883	3772
333	1886	3762
334	1889	3750
335	1891	3738
336	1894	3727
337	1897	3715
338	1900	3704
339	1902	3693
340	1905	3683
341	1908	3672
342	1911	3661
343	1914	3650
344	1917	3639
345	1920	3629
346	1923	3618
347	1925	3608
348	1929	3598
349	1931	3587
350	1934	3576
351	1937	3566
352	1940	3555
353	1942	3545
354	1945	3535
355	1948	3524
356	1951	3514
357	1953	3503
358	1956	3494
359	1959	3484
360	1962	3473
361	1964	3462
362	1967	3453
363	1970	3442
364	1973	3433
365	1976	3423
366	1979	3413
367	1982	3403
368	1984	3394
369	1987	3384
370	1990	3374
371	1993	3365
372	1996	3355
373	1998	3345
374	2001	3336
375	2004	3326
376	2007	3317
377	2010	3307
378	2012	3298
379	2015	3288
380	2018	3279
381	2021	3270
382	2024	3261
383	2027	3251
384	2030	3242
385	2032	3233
386	2035	3224
387	2039	3216
388	2041	3207
389	2044	3198
390	2047	3189
391	2050	3179
392	2052	3170
393	2055	3161
394	2058	3152
395	2061	3143
396	2064	3135
397	2067	3126
398	2070	3118
399	2072	3109
400	2075	3100
401	2078	3092
402	2081	3083
403	2084	3075
404	2087	3066
405	2090	3057
406	2093	3049
407	2095	3041
408	2098	3032
409	2101	3023
410	2104	3015
411	2106	3006
412	2109	2998
413	2112	2989
414	2115	2981
415	2121	2978
416	2125	2972
417	2135	2973
418	2139	2966
419	2142	2958
420	2144	2949
421	2147	2940
422	2150	2932
423	2160	2935
424	2169	2934
425	2175	2930
426	2180	2926
427	2189	2926
428	2193	2919
429	2196	2910
430	2198	2903
431	2201	2894
432	2204	2886
433	2206	2878
434	2210	2870
435	2213	2862
436	2216	2855
437	2218	2847
438	2221	2839
439	2224	2831
440	2227	2823
441	2229	2815
442	2232	2807
443	2235	2799
444	2238	2791
445	2241	2783
446	2244	2776
447	2246	2768
448	2249	2760
449	2251	2752
450	2254	2744
451	2257	2736
452	2260	2729
453	2262	2721
454	2265	2714
455	2268	2706
456	2271	2698
457	2273	2690
458	2276	2683
459	2279	2675
460	2282	2668
461	2284	2660
462	2288	2653
463	2290	2646
464	2293	2639
465	2296	2631
466	2299	2624
467	2302	2617
468	2305	2609
469	2307	2602
470	2312	2597
471	2318	2593
472	2326	2592
473	2332	2588
474	2339	2586
475	2343	2580
476	2351	2578
477	2355	2572
478	2362	2569
479	2366	2563
480	2375	2562
481	2379	2556
482	2387	2555
483	2398	2556
484	2403	2552
485	2412	2551
486	2416	2545
487	2425	2545
488	2433	2542
489	2439	2538
490	2447	2537
491	2456	2536
492	2462	2532
493	2470	2530
494	2481	2531
495	2488	2528
496	2499	2529
497	2504	2524
498	2512	2522
499	2520	2520
500	2535	2525
501	2537	2517
502	2546	2515
503	2556	2515
504	2566	2515
505	2571	2510
506	2580	2509
507	2590	2509
508	2596	2504
509	2604	2501
510	2612	2499
511	2618	2495
512	2622	2489
513	2625	2482
514	2629	2476
515	2632	2469
516	2636	2463
517	2640	2457
518	2643	2450
519	2647	2443
520	2651	2437
521	2654	2431
522	2658	2425
523	2663	2419
524	2667	2413
525	2670	2406
526	2674	2400
527	2682	2398
528	2691	2396
529	2696	2391
530	2705	2389
531	2715	2388
532	2720	2383
533	2727	2380
534	2733	2375
535	2740	2372
536	2745	2367
537	2754	2365
538	2759	2360
539	2768	2358
540	2774	2353
541	2783	2352
542	2788	2347
543	2795	2343
544	2801	2338
545	2809	2335
546	2816	2332
547	2823	2328
548	2832	2327
549	2840	2324
550	2846	2319
551	2854	2316
552	2858	2310
553	2873	2313
554	2882	2311
555	2894	2311
556	2903	2309
557	2916	2310
558	2934	2314
559	2940	2310
560	2949	2308
561	2954	2302
562	2963	2300
563	2967	2294
564	2976	2291
565	2980	2285
566	2988	2282
567	2991	2275
568	2999	2272
569	3009	2270
570	3015	2265
571	3024	2262
572	3031	2259
573	3044	2259
574	3048	2252
575	3051	2246
576	3055	2239
577	3058	2233
578	3063	2227
579	3069	2223
580	3073	2216
581	3077	2209
582	3081	2204
583	3084	2197
584	3087	2190
585	3091	2184
586	3094	2177
587	3097	2170
588	3101	2164
589	3104	2157
590	3107	2150
591	3111	2144
592	3114	2137
593	3119	2131
594	3122	2125
595	3126	2118
596	3130	2113
597	3135	2107
598	3138	2101
599	3141	2094
600	3145	2088
601	3148	2081
602	3152	2075
603	3156	2069
604	3160	2063
605	3163	2056
606	3168	2051
607	3173	2045
608	3178	2040
609	3183	2035
610	3187	2029
611	3192	2023
612	3194	2016
613	3199	2011
614	3203	2005
615	3207	1999
616	3213	1994
617	3222	1991
618	3231	1989
619	3237	1984
620	3246	1981
621	3255	1978
622	3261	1973
623	3270	1970
624	3278	1967
625	3287	1964
626	3292	1958
627	3301	1955
628	3310	1952
629	3318	1949
630	3326	1945
631	3335	1942
632	3342	1937
633	3351	1934
634	3360	1931
635	3364	1925
636	3377	1924
637	3386	1921
638	3394	1917
639	3401	1913
640	3408	1909
641	3417	1905
642	3425	1901
643	3430	1896
644	3441	1894
645	3450	1890
646	3458	1886
647	3466	1883
648	3476	1880
649	3481	1874
650	3490	1871
651	3496	1866
652	3505	1862
653	3514	1859
654	3520	1854
655	3529	1850
656	3538	1847
657	3545	1843
658	3552	1838
659	3561	1834
660	3568	1830
661	3577	1826
662	3584	1821
663	3593	1818
664	3604	1815
665	3612	1811
666	3620	1807
667	3629	1804
668	3635	1798
669	3646	1795
670	3655	1792
671	3661	1787
672	3670	1783
673	3679	1779
674	3686	1775
675	3695	1771
676	3703	1766
677	3710	1762
678	3718	1757
679	3726	1753
680	3733	1748
681	3740	1744
682	3745	1738
683	3755	1734
684	3763	1730
685	3770	1726
686	3778	1721
687	3787	1717
688	3795	1713
689	3802	1708
690	3811	1704
691	3819	1699
692	3828	1696
693	3834	1690
694	3843	1686
695	3852	1682
696	3858	1677
697	3867	1673
698	3876	1669
699	3880	1663
700	3889	1658
701	3900	1655
702	3905	1650
703	3915	1646
704	3923	1641
705	3933	1637
706	3945	1635
707	3953	1630
708	3959	1625
709	3972	1622
710	3983	1619
711	3993	1615
712	4001	1610
713	4010	1606
714	4018	1601
715	4026	1597
716	4034	1592
717	4043	1588
718	4051	1583
719	4057	1577
720	4068	1574
721	4077	1570
722	4082	1564
723	4092	1560
724	4097	1554
725	4107	1550
726	4112	1544
727	4122	1540
728	4127	1534
729	4138	1530
730	4144	1525
731	4153	1520
732	4163	1516
733	4169	1511
734	4177	1506
735	4184	1501
736	4192	1496
737	4201	1491
738	4208	1486
739	4214	1480
740	4224	1476
741	4229	1470
742	4240	1466
743	4250	1462
744	4257	1457
745	4271	1454
746	4278	1448
747	4290	1445
748	4300	1441
749	4309	1436
750	4315	1430
751	4324	1426
752	4335	1422
753	4341	1416
754	4349	1411
755	4357	1406
756	4367	1402
757	4375	1396
758	4383	1391
759	4389	1386
760	4398	1381
761	4407	1376
762	4414	1371
763	4422	1366
764	4430	1361
765	4438	1355
766	4444	1350
767	4453	1345
768	4462	1340
769	4471	1335
770	4480	1330
771	4486	1325
772	4496	1320
773	4505	1315
774	4511	1309
775	4519	1304
776	4528	1299
777	4534	1293
778	4543	1288
779	4552	1283
780	4561	1278
781	4568	1273
782	4573	1267
783	4583	1262
784	4592	1257
785	4598	1251
786	4605	1246
787	4612	1240
788	4620	1235
789	4626	1229
790	4636	1224
791	4644	1219
792	4651	1214
793	4658	1208
794	4667	1203
795	4672	1197
796	4682	1192
797	4690	1187
798	4699	1182
799	4707	1176
800	4713	1171
801	4723	1166
802	4731	1160
803	4737	1154
804	4744	1149
805	4753	1144
806	4761	1138
807	4769	1133
808	4775	1127
809	4784	1122
810	4790	1116
811	4799	1111
812	4808	1106
813	4813	1099
814	4822	1094
815	4831	1089
816	4839	1083
817	4847	1078
818	4854	1072
819	4859	1066
820	4869	1061
821	4878	1056
822	4887	1051
823	4893	1045
824	4901	1039
825	4909	1034
826	4915	1028
827	4924	1023
828	4933	1017
829	4938	1011
830	4948	1006
831	4954	1000
832	4966	995
833	4974	990
834	4980	984
835	4990	978
836	4995	972
837	5005	967
838	5010	961
839	5020	956
840	5028	950
841	5033	944
842	5043	939
843	5048	933
844	5058	927
845	5069	922
846	5076	916
847	5083	911
848	5092	905
849	5101	900
850	5108	894
851	5118	889
852	5126	883
853	5133	877
854	5141	871
855	5148	866
856	5156	860
857	5167	855
858	5175	849
859	5184	844
860	5193	838
861	5205	833
862	5215	827
863	5225	822
864	5235	817
865	5245	811
866	5254	806
867	5264	800
868	5273	794
869	5280	789
870	5289	783
871	5297	777
872	5304	771
873	5311	765
874	5318	759
875	5325	753
876	5334	748
877	5342	742
878	5351	736
879	5359	730
880	5369	725
881	5375	719
882	5384	713
883	5392	707
884	5401	701
885	5408	695
886	5415	689
887	5423	684
888	5431	678
889	5436	671
890	5445	666
891	5453	660
892	5461	654
893	5468	648
894	5476	642
895	5485	636
896	5491	630
897	5500	624
898	5508	618
899	5516	612
900	5520	606
901	5529	600
902	5538	594
903	5546	589
904	5556	583
905	5563	577
906	5571	571
907	5584	565
908	5593	559
909	5602	554
910	5613	548
911	5622	542
912	5630	536
913	5638	530
914	5649	524
915	5654	518
916	5666	512
917	5675	506
918	5687	501
919	5694	495
920	5703	489
921	5710	483
922	5718	477
923	5725	470
924	5733	464
925	5744	459
926	5750	452
927	5760	446
928	5767	440
929	5773	434
930	5783	428
931	5791	422
932	5799	416
933	5806	410
934	5814	404
935	5823	398
936	5830	392
937	5839	385
938	5847	379
939	5854	373
940	5861	367
941	5868	361
942	5876	355
943	5884	349
944	5892	342
945	5899	336
946	5906	330
947	5914	324
948	5922	318
949	5930	312
950	5935	305
951	5944	299
952	5953	293
953	5960	287
954	5965	281
955	5975	275
956	5983	268
957	5990	262
958	5997	256
959	6012	250
960	6019	244
961	6024	237
962	6034	231
963	6046	225
964	6052	219
965	6062	213
966	6073	207
967	6081	201
968	6090	194
969	6100	188
970	6108	182
971	6118	176
972	6125	169
973	6134	163
974	6143	157
975	6152	151
976	6163	145
977	6173	138
978	6179	132
979	6188	126
980	6197	120
981	6206	113
982	6212	107
983	6220	101
984	6230	94
985	6239	88
986	6247	82
987	6253	75
988	6262	69
989	6270	63
990	6278	57
991	6286	50
992	6293	44
993	6300	38
994	6309	31
995	6315	25
996	6325	19
997	6333	12
998	6340	6
999	6348	0
91	10202	82
992	10211	71
993	10219	61
994	10225	51
995	10233	41
996	10242	30
997	10248	20
998	10257	10
999	10264	0
